Start Date Month,Start Date Dayofweek,Start Date is weekend,Start Date quarter,lag_1_sessions,lag_7_sessions,rolling_7_mean,rolling_7_std
10,5,1,4,3.0,2.0,2.142857142857143,0.8997354108425804
10,6,1,4,2.0,2.0,3.7142857142857144,1.496026483086191
10,6,1,4,1.0,3.0,1.5714285714285714,0.7867957924694434
10,6,1,4,2.0,1.0,3.142857142857143,1.6761634196950288
10,6,1,4,1.0,2.0,2.0,1.0000000000001317
10,0,0,4,1.0,2.0,3.142857142857143,1.6761634196950288
10,0,0,4,4.0,3.0,4.0,1.2909944487358054
10,0,0,4,3.0,1.0,2.142857142857143,1.2149857925879117
10,0,0,4,2.0,1.0,1.4285714285714286,0.5345224838248454
10,0,0,4,1.0,3.0,1.8571428571428572,1.0690449676498237
11,1,0,4,2.0,4.0,3.142857142857143,1.6761634196950288
11,1,0,4,2.0,5.0,3.857142857142857,1.4638501094227994
11,1,0,4,1.0,1.0,1.4285714285714286,0.5345224838248454
11,1,0,4,2.0,4.0,2.2857142857142856,1.1126972805283735
11,1,0,4,1.0,1.0,1.5714285714285714,0.9759000729486778
11,2,0,4,2.0,3.0,1.7142857142857142,0.951189731211487
11,2,0,4,2.0,1.0,2.0,0.8164965809277259
11,2,0,4,5.0,3.0,3.2857142857142856,1.7994708216848552
11,2,0,4,2.0,4.0,3.4285714285714284,1.5118578920369083
11,3,0,4,1.0,2.0,1.4285714285714286,0.5345224838248454
11,3,0,4,3.0,4.0,3.2857142857142856,1.4960264830861907
11,3,0,4,2.0,6.0,3.142857142857143,1.8644544714715883
11,3,0,4,1.0,3.0,2.0,0.8164965809277259
11,3,0,4,3.0,1.0,1.7142857142857142,0.951189731211487
11,4,0,4,1.0,6.0,2.857142857142857,1.6761634196950508
11,4,0,4,6.0,4.0,3.142857142857143,1.8644544714715883
11,4,0,4,2.0,2.0,1.8571428571428572,0.6900655593423539
11,4,0,4,2.0,3.0,1.8571428571428572,0.8997354108425873
